type	name	lat	long	id	fac	description	abbr	openingtimes	link
Campus Facilities	Congregation Hall	52.621994	1.242635	null	null	null	C.HALL	null	null
Campus Facilities	Council House	52.622192	1.24123	null	null	null	REG C. CHAMBER	null	null
Campus Facilities	Dean of Students' Office	52.621071	1.241466	null	null	The Dean of Students' Office offers wide-ranging advice and guidance to any student who is experiencing difficulties or who wishes to make the most of the opportunities available to them at UEA.	DOS	null	http://www.uea.ac.uk/dos
Campus Facilities	Dev Farm	52.61940611	1.246615648	null	null	null	null	null	null
Campus Facilities	Earlham Park	52.624298	1.234428	null	null	null	null	null	null
Campus Facilities	International Standard Athletics Track	52.624832	1.24212	null	null	null	null	null	null
Campus Facilities	The Nick Rayns LCR	52.621426	1.24179	null	null	"The Nick Rayns LCR has been voted as the best student venue in the country by the music industry's Live! magazine. Each year it plays host to well known bands such as Public Enemy, Sterephonics, Kasabian, Amy Winehouse and The Ting Tings amongst others. For full LCR listings click <a href='http://www.ueastudent.com/ents/entsFeatures/studentnights/index_html'>LCR Nights</a>"	LCR	null	null
Campus Facilities	Norfolk and Norwich University Hospital	52.617783	1.220984	null	null	null	null	null	null
Campus Facilities	UEA Nursery	52.623611	1.246562	null	null	UEA Nursery is a full day care Nursery offering care for babies from 6 weeks and children until starting school. 	null	null	http://www.uea.ac.uk/nursery
Campus Facilities	The Lodge (Security)	52.623119	1.240532	null	null	"The Lodge (Security) provides a 24-hour point of contact for those seeking advice or assistance and to keep the campus safe, security staff maintain close liaison with the local police. "	help	null	null
